Order Number,Start Date,End Date,Line,Shift,Posting date,POT Min,POT Hour,Notification Number,Equiment,Downtime(in Secods),Breakdown,Group,Description,WERKS CODE,WERKS
000010001023,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,03/05/2023 00:00,0,0,000010003846,000000000010000940,,no breakdown,U-STEAM,UTI_BOILER,A112,Kaduna Noodles
000010001023,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,03/05/2023 00:00,0,0,000010003849,000000000010000643,3,breakdown,,,A112,Kaduna Noodles
000010001024,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,03/05/2023 00:00,0,0,000010003886,,40.733333333333334,breakdown,,,A112,Kaduna Noodles
000010001024,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,03/05/2023 00:00,0,0,000010003887,,40,breakdown,,,A112,Kaduna Noodles
000030000756,03/05/2023 00:00,03/05/2023 00:00,Line 1,1,03/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000757,03/05/2023 00:00,03/05/2023 00:00,Line 1,1,03/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000758,03/05/2023 00:00,03/05/2023 00:00,Line 1,2,03/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000759,03/05/2023 00:00,03/05/2023 00:00,Line 1,2,03/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001029,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,04/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001030,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,04/05/2023 00:00,0,0,000010004135,000000000010000645,,no breakdown,,,A112,Kaduna Noodles
000010001030,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,04/05/2023 00:00,0,0,000010004138,,6,breakdown,,,A112,Kaduna Noodles
000030000762,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,04/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000763,04/05/2023 00:00,04/05/2023 00:00,Line 1,1,04/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000764,04/05/2023 00:00,04/05/2023 00:00,Line 1,2,04/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000765,04/05/2023 00:00,04/05/2023 00:00,Line 1,2,04/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001035,05/05/2023 00:00,05/05/2023 00:00,Line 1,1,05/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001036,06/05/2023 00:00,06/05/2023 00:00,Line 1,2,05/05/2023 00:00,0,0,000010004263,,0.17,breakdown,,,A112,Kaduna Noodles
000030000770,05/05/2023 00:00,05/05/2023 00:00,Line 1,1,05/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000771,05/05/2023 00:00,05/05/2023 00:00,Line 1,1,05/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000772,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,05/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000773,05/05/2023 00:00,05/05/2023 00:00,Line 1,2,05/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001122,06/05/2023 00:00,06/05/2023 00:00,Line 1,1,06/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001123,07/05/2023 00:00,07/05/2023 00:00,Line 1,2,06/05/2023 00:00,0,0,000010004440,000000000010001012,2,breakdown,,,A112,Kaduna Noodles
000030000785,06/05/2023 00:00,06/05/2023 00:00,Line 1,1,06/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000786,06/05/2023 00:00,06/05/2023 00:00,Line 1,2,06/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000787,06/05/2023 00:00,06/05/2023 00:00,Line 1,1,06/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000788,06/05/2023 00:00,06/05/2023 00:00,Line 1,2,06/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001186,08/05/2023 00:00,08/05/2023 00:00,Line 1,1,07/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000010001187,08/05/2023 00:00,08/05/2023 00:00,Line 1,2,07/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000791,07/05/2023 00:00,07/05/2023 00:00,Line 1,1,07/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000792,07/05/2023 00:00,07/05/2023 00:00,Line 1,2,07/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000795,07/05/2023 00:00,07/05/2023 00:00,Line 1,1,07/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000796,08/05/2023 00:00,08/05/2023 00:00,Line 1,2,07/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000799,08/05/2023 00:00,08/05/2023 00:00,Line 1,1,08/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000800,08/05/2023 00:00,08/05/2023 00:00,Line 1,2,08/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000801,08/05/2023 00:00,08/05/2023 00:00,Line 1,1,08/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000802,08/05/2023 00:00,08/05/2023 00:00,Line 1,2,08/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000803,09/05/2023 00:00,09/05/2023 00:00,Line 1,1,09/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000804,09/05/2023 00:00,09/05/2023 00:00,Line 1,2,09/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000805,09/05/2023 00:00,09/05/2023 00:00,Line 1,1,09/05/2023 00:00,0,0,000010004807,000000000010001342,,no breakdown,,,A112,Kaduna Noodles
000030000806,09/05/2023 00:00,09/05/2023 00:00,Line 1,2,09/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000813,10/05/2023 00:00,10/05/2023 00:00,Line 1,1,10/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000814,10/05/2023 00:00,10/05/2023 00:00,Line 1,2,10/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000815,10/05/2023 00:00,10/05/2023 00:00,Line 1,1,10/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
000030000816,10/05/2023 00:00,10/05/2023 00:00,Line 1,2,10/05/2023 00:00,0,0,,,,no breakdown,,,A112,Kaduna Noodles
